ID,parking,renovation,price,time_metro,total_area,house,rooms,combined_bath,separated_bath,passenger_elevator,freight_elevator,windows_to_the_courtyard,windows_to_the_street,windows_facing_the_street_and_yard,loggia,balcony_new,children_allowed,pets_allowed,distance_to_moscow
270748084,0,0,45000.0,13.0,26.0,0,1.0,1,0,1,0,1,0,0,0,0,1,0,10.889922792661743
272727624,0,1,45000.0,15.0,37.0,0,1.0,1,0,1,1,0,1,0,0,1,1,0,9.64410051683974
270990389,1,0,45000.0,13.0,53.0,0,2.0,0,1,1,1,1,0,0,0,1,1,0,10.889922792661743
274734107,0,0,45000.0,15.0,38.0,1,1.0,1,0,4,0,1,0,0,0,0,0,0,9.64410051683974
274801762,0,0,45000.0,10.0,45.0,0,2.0,0,1,2,0,0,1,0,0,1,1,1,11.066578282930006
274884581,0,0,45000.0,15.0,46.0,0,2.0,0,1,0,0,1,0,0,0,1,1,1,9.64410051683974
272104054,0,1,45000.0,10.0,42.0,1,2.0,1,0,0,0,1,0,0,0,0,0,0,11.066578282930006
274360967,0,1,47000.0,6.0,40.0,0,1.0,1,0,2,1,1,0,0,1,0,0,0,9.709023892236084
272607320,0,0,48000.0,15.0,52.0,0,2.0,0,1,2,0,0,1,0,1,0,1,1,9.64410051683974
274946930,0,0,48000.0,13.0,44.0,0,2.0,0,1,0,0,1,0,0,0,1,1,0,10.889922792661743
274359033,0,0,48000.0,15.0,40.0,0,2.0,1,0,2,1,1,0,0,1,0,1,1,9.64410051683974
274062559,0,0,48000.0,15.0,48.0,1,1.0,1,0,3,0,1,0,0,0,0,0,0,9.64410051683974
274949112,0,0,50000.0,15.0,49.2,0,2.0,0,1,1,0,0,0,1,1,0,1,0,9.64410051683974
274995317,0,0,50000.0,15.0,70.0,0,2.0,1,0,3,1,0,0,1,1,0,1,1,9.64410051683974
274026724,0,1,50000.0,6.0,57.0,0,3.0,1,0,0,0,1,0,0,0,0,1,1,8.567652754749528
274985508,0,1,50000.0,6.0,36.0,0,2.0,0,1,0,0,0,1,0,0,0,1,0,8.567652754749528
273866795,0,0,50000.0,13.0,30.0,0,1.0,1,0,4,0,1,0,0,0,1,0,0,10.889922792661743
271951454,0,0,50000.0,15.0,58.0,1,2.0,0,1,3,0,1,0,0,0,1,0,0,9.64410051683974
270622431,0,0,50000.0,15.0,40.0,1,1.0,0,1,3,0,0,1,0,0,1,1,0,9.64410051683974
272783815,0,1,50000.0,6.0,47.3,0,2.0,0,1,2,0,0,0,1,0,2,1,0,9.709023892236084
264558085,0,0,53000.0,6.0,54.7,1,3.0,1,0,0,0,1,0,0,0,1,1,0,8.567652754749528
270329565,0,1,55000.0,15.0,43.0,1,1.0,1,0,2,0,0,1,0,1,0,0,0,9.64410051683974
274753365,0,1,55000.0,10.0,37.0,0,1.0,1,0,0,0,1,0,0,0,0,0,0,11.066578282930006
274600000,0,1,55000.0,6.0,49.0,0,2.0,0,1,0,0,1,0,0,0,0,1,0,9.709023892236084
257083820,0,1,55000.0,15.0,55.0,1,1.0,1,0,4,0,1,0,0,1,0,0,0,9.64410051683974
268479851,0,1,55000.0,15.0,55.0,0,2.0,0,1,1,0,1,0,0,1,0,1,0,9.64410051683974
273996725,0,0,55000.0,10.0,40.0,1,2.0,1,0,0,0,0,1,0,0,1,1,0,11.066578282930006
274001041,0,1,60000.0,6.0,44.0,0,2.0,1,0,0,0,1,0,0,0,1,0,0,8.567652754749528
274775465,1,0,60000.0,10.0,62.0,0,2.0,0,1,1,1,0,0,1,1,0,0,0,11.066578282930006
269122746,0,1,60000.0,15.0,41.0,0,1.0,1,0,2,2,0,1,0,1,0,1,0,9.64410051683974
274984005,0,1,60000.0,15.0,60.0,0,2.0,0,1,1,1,1,0,0,1,0,0,0,9.64410051683974
274751784,0,1,60000.0,6.0,50.0,0,2.0,0,1,0,0,1,0,0,0,0,0,1,8.567652754749528
274463174,0,0,60000.0,15.0,79.0,1,3.0,0,1,2,1,1,0,0,1,0,1,0,9.64410051683974
269810529,0,0,60000.0,10.0,72.5,0,2.0,1,0,1,0,0,1,0,2,0,1,0,11.066578282930006
245059112,0,1,60000.0,15.0,50.0,1,2.0,1,0,2,1,1,0,0,2,0,0,0,9.64410051683974
213196511,0,1,65000.0,15.0,66.0,0,2.0,0,1,2,1,1,0,0,2,0,1,0,9.64410051683974
274904176,1,1,65000.0,15.0,75.0,1,2.0,0,1,1,1,0,1,0,2,0,1,0,9.64410051683974
273084160,0,1,65000.0,15.0,60.0,0,2.0,1,0,1,1,0,0,1,2,0,0,0,9.64410051683974
274982989,0,1,70000.0,15.0,45.0,0,2.0,1,0,4,0,1,0,0,1,0,1,1,9.64410051683974
273958612,0,1,70000.0,15.0,60.0,1,2.0,0,1,2,1,1,0,0,1,0,1,0,9.64410051683974
188733892,0,0,72000.0,13.0,76.0,0,3.0,0,1,2,0,1,0,0,2,0,1,1,10.889922792661743
205069461,0,1,73000.0,15.0,71.0,0,2.0,0,1,1,1,1,0,0,1,1,1,1,9.64410051683974
274333874,0,1,75000.0,13.0,60.0,0,3.0,0,1,1,0,0,0,1,1,0,1,1,10.889922792661743
273920274,0,1,75000.0,10.0,51.0,0,2.0,0,1,1,1,0,0,1,1,0,1,1,11.066578282930006
269761832,0,1,75000.0,15.0,60.0,0,2.0,0,1,3,0,1,0,0,1,0,1,0,9.64410051683974
273424934,0,2,75000.0,6.0,58.0,0,3.0,1,0,0,0,1,0,0,1,0,1,1,8.567652754749528
274353837,2,2,75000.0,13.0,70.0,1,2.0,0,1,1,1,1,0,0,1,0,1,0,10.889922792661743
274943876,0,1,80000.0,13.0,45.0,0,2.0,0,1,0,0,1,0,0,0,1,1,1,10.889922792661743
274950598,0,2,80000.0,6.0,62.0,0,2.0,1,0,4,0,1,0,0,1,0,1,0,9.709023892236084
272837470,0,1,85000.0,15.0,60.0,0,2.0,1,0,0,0,0,1,0,0,1,1,0,9.64410051683974
274646414,0,1,85000.0,15.0,73.0,0,2.0,1,1,0,0,0,0,1,2,0,1,0,9.64410051683974
274192190,0,1,85000.0,10.0,120.0,1,3.0,0,1,0,0,0,0,1,0,0,1,0,11.066578282930006
274458349,0,1,88000.0,15.0,77.0,1,2.0,2,0,2,2,0,0,1,2,0,0,0,9.64410051683974
272658037,1,1,90000.0,15.0,64.0,1,2.0,1,0,2,2,1,0,0,0,0,1,0,9.64410051683974
272821772,0,1,90000.0,10.0,120.0,0,4.0,0,1,0,0,0,0,1,0,0,1,1,11.066578282930006
263183541,0,2,100000.0,15.0,84.0,1,3.0,1,0,4,0,0,0,1,1,0,1,1,9.64410051683974
271056027,1,1,130000.0,10.0,144.5,1,3.0,0,2,1,0,1,0,0,1,0,0,0,11.066578282930006
269855367,0,2,200000.0,15.0,120.7,1,3.0,2,0,1,0,0,0,1,0,1,1,1,9.64410051683974
267894741,2,2,200000.0,6.0,170.0,1,4.0,2,0,1,2,0,0,1,0,0,1,0,9.709023892236084
273761621,1,2,200000.0,15.0,120.7,1,3.0,2,0,3,0,0,0,1,1,0,1,1,9.64410051683974
269181351,2,2,230000.0,15.0,160.0,1,4.0,1,1,2,1,0,0,1,0,1,1,0,9.64410051683974
274829075,0,1,250000.0,10.0,280.0,0,3.0,2,0,1,0,1,0,0,0,0,0,0,11.066578282930006
274318647,0,2,280000.0,15.0,200.0,1,4.0,3,0,1,0,1,0,0,0,0,1,1,9.64410051683974
274790843,0,2,280000.0,15.0,210.0,1,4.0,3,1,2,2,0,0,1,0,0,1,1,9.64410051683974
274980295,0,0,26000.0,13.0,22.0,1,1.0,0,1,2,0,1,0,0,0,0,0,0,10.889922792661743
273599253,0,0,30000.0,6.0,32.0,0,1.0,1,0,1,0,1,0,0,0,1,1,0,9.709023892236084
265017530,0,1,30000.0,10.0,24.0,0,1.0,1,0,0,0,1,0,0,0,0,1,1,11.066578282930006
191792628,0,0,38000.0,6.0,45.0,0,2.0,1,0,0,0,1,0,0,0,1,1,0,8.567652754749528
273825472,0,0,39000.0,15.0,48.0,0,2.0,0,1,1,1,1,0,0,1,0,1,0,9.64410051683974
269994728,0,0,40000.0,15.0,35.0,0,1.0,1,0,0,0,1,0,0,0,0,1,0,9.64410051683974
245275066,0,0,40000.0,6.0,40.0,0,1.0,0,1,2,0,1,0,0,1,0,1,0,8.567652754749528
274096383,0,0,40000.0,6.0,40.0,0,1.0,1,0,1,0,1,0,0,1,0,0,0,9.709023892236084
274824567,0,0,40000.0,13.0,52.0,0,2.0,0,1,2,0,1,0,0,1,0,1,0,10.889922792661743
274949550,0,0,40000.0,6.0,35.0,0,1.0,0,1,1,0,1,0,0,1,0,1,1,9.709023892236084
274214238,0,0,40000.0,13.0,43.0,0,2.0,0,1,0,0,1,0,0,0,0,1,1,10.889922792661743
268445028,0,1,40000.0,15.0,37.0,1,1.0,0,1,1,0,1,0,0,1,0,1,1,9.64410051683974
274311068,0,0,40000.0,6.0,26.0,0,1.0,1,0,0,0,1,0,0,0,1,0,0,8.567652754749528
274868682,0,0,40000.0,15.0,32.0,0,1.0,0,1,0,0,1,0,0,0,1,1,0,9.64410051683974
271740506,0,1,40000.0,10.0,35.0,1,1.0,1,0,0,0,1,0,0,0,1,0,0,11.066578282930006
253062406,0,0,40000.0,10.0,40.0,0,1.0,1,0,0,0,1,0,0,0,1,0,0,11.066578282930006
224790743,0,0,41000.0,10.0,48.0,1,2.0,0,1,0,0,0,1,0,0,1,1,1,11.066578282930006
274973760,0,0,42000.0,6.0,44.0,0,1.0,0,1,1,0,1,0,0,1,0,1,0,9.709023892236084
274998129,0,0,43000.0,15.0,36.0,1,1.0,1,0,2,1,1,0,0,2,0,0,0,9.64410051683974
274952425,0,0,43000.0,13.0,45.0,1,2.0,0,1,0,0,1,0,0,0,1,0,0,10.889922792661743
274797702,0,0,43000.0,6.0,43.4,0,1.0,0,1,1,1,0,1,0,1,0,1,0,8.567652754749528
274985433,0,0,45000.0,6.0,57.0,1,3.0,1,0,0,0,1,0,0,0,1,1,1,8.567652754749528
274807243,0,0,45000.0,6.0,42.0,1,1.0,1,0,2,2,1,0,0,1,0,0,0,9.709023892236084
273566907,0,1,45000.0,6.0,45.0,1,2.0,0,1,1,0,1,0,0,0,1,1,0,9.709023892236084
274944021,0,1,45000.0,15.0,37.0,0,1.0,1,0,2,0,1,0,0,0,1,0,0,9.64410051683974
274382292,0,0,45000.0,6.0,45.0,1,2.0,1,0,1,0,1,0,0,1,0,1,1,9.709023892236084
274497283,0,0,45000.0,15.0,45.0,1,1.0,0,1,1,0,1,0,0,1,1,1,1,9.64410051683974
273565457,0,0,45000.0,6.0,34.0,1,1.0,1,0,1,0,1,0,0,0,0,0,0,9.709023892236084
274781517,0,1,46000.0,10.0,38.2,1,1.0,0,1,1,1,1,0,0,1,0,0,0,11.066578282930006
266526706,0,0,46000.0,15.0,45.0,0,2.0,1,0,0,0,1,0,0,0,0,1,1,9.64410051683974
274955189,0,1,47000.0,15.0,43.0,0,1.0,1,0,2,2,1,0,0,1,0,0,0,9.64410051683974
152507041,0,1,47000.0,15.0,50.0,1,2.0,0,1,1,1,1,0,0,1,0,1,0,9.64410051683974
244269272,0,2,48000.0,15.0,34.0,0,1.0,1,0,1,1,0,1,0,1,0,1,0,9.64410051683974
216650666,0,1,48000.0,15.0,51.0,1,2.0,0,1,0,0,1,0,0,0,0,0,0,9.64410051683974
273514178,0,1,50000.0,15.0,43.0,1,1.0,1,0,1,1,1,0,0,0,1,1,0,9.64410051683974
271483191,0,0,50000.0,12.0,36.0,0,1.0,1,0,0,0,1,0,0,0,0,1,0,12.85064501531401
274965615,0,0,50000.0,6.0,57.0,0,2.0,0,1,1,0,1,0,0,1,0,1,0,9.709023892236084
274397082,0,0,50000.0,15.0,57.0,1,2.0,1,0,3,0,1,0,0,1,0,1,1,9.64410051683974
274766074,0,2,50000.0,13.0,42.0,1,1.0,1,0,4,0,1,0,0,1,0,0,0,10.889922792661743
274878262,0,1,50000.0,13.0,58.0,0,3.0,0,1,1,0,0,1,0,0,1,1,0,10.889922792661743
269287122,0,0,50000.0,15.0,58.0,1,2.0,0,1,3,0,1,0,0,1,0,1,1,9.64410051683974
273315275,0,1,50000.0,6.0,37.0,0,1.0,1,0,2,1,1,0,0,1,0,1,0,9.709023892236084
219565783,0,1,50000.0,13.0,40.6,0,2.0,1,0,0,0,0,0,1,0,1,1,0,10.889922792661743
274993883,0,0,53000.0,6.0,45.0,1,2.0,0,1,0,0,1,0,0,0,1,0,0,8.567652754749528
274879137,0,0,53000.0,6.0,45.0,1,2.0,1,0,0,0,1,0,0,0,1,1,0,8.567652754749528
272215387,0,0,55000.0,15.0,70.0,1,3.0,0,1,1,1,0,1,0,0,1,1,0,9.64410051683974
274665054,0,1,55000.0,15.0,55.0,0,2.0,0,1,2,0,0,1,0,0,0,1,1,9.64410051683974
204884399,0,2,55000.0,15.0,46.0,0,1.0,0,1,2,2,1,0,0,1,0,0,0,9.64410051683974
225505483,0,0,55000.0,15.0,45.0,1,2.0,1,0,0,0,1,0,0,0,1,0,0,9.64410051683974
274809119,0,0,56000.0,10.0,45.0,1,2.0,1,0,0,0,1,0,0,0,0,1,1,11.066578282930006
274012412,0,0,56000.0,15.0,43.0,1,1.0,1,0,4,0,1,0,0,1,0,1,1,9.64410051683974
274734614,0,1,58000.0,6.0,60.0,0,2.0,0,1,2,0,0,1,0,0,1,1,1,8.567652754749528
275000714,0,1,60000.0,15.0,50.0,0,1.0,1,0,4,0,0,0,1,1,0,0,0,9.64410051683974
274782897,1,1,60000.0,6.0,50.0,1,2.0,0,1,1,0,0,1,0,0,1,0,0,9.709023892236084
274257704,0,1,60000.0,10.0,50.0,1,1.0,1,0,2,2,1,0,0,1,0,0,0,11.066578282930006
202422701,0,1,60000.0,15.0,64.0,0,2.0,1,0,1,0,0,1,0,1,0,1,0,9.64410051683974
274985217,0,1,60000.0,15.0,51.4,0,1.0,1,0,2,1,0,1,0,1,0,1,0,9.64410051683974
223284037,0,1,48000.0,8.5,54.0,1,2.0,0,1,2,0,0,0,1,1,0,1,0,16.507474329371778
216123496,0,1,55000.0,8.5,53.0,1,2.0,0,1,0,0,0,0,1,1,0,1,0,16.507474329371778
266634766,0,0,30000.0,9.0,39.0,0,1.0,0,1,2,1,1,0,0,1,0,0,0,15.85135117523919
274882959,0,0,30000.0,9.0,39.0,0,1.0,0,1,2,0,1,0,0,0,1,1,0,15.85135117523919
224497184,0,0,32000.0,8.5,38.0,0,1.0,1,0,1,0,1,0,0,0,1,0,0,16.507474329371778
273207690,0,1,33000.0,8.5,39.0,0,1.0,1,0,1,1,1,0,0,1,0,1,0,16.507474329371778
274809578,0,1,35000.0,9.0,39.0,0,1.0,1,0,2,0,1,0,0,0,1,0,0,15.85135117523919
271497009,0,0,40000.0,9.0,60.0,0,2.0,0,1,1,1,0,0,1,1,0,1,1,15.85135117523919
274095297,0,0,40000.0,9.0,56.0,0,2.0,0,1,2,1,0,0,1,0,1,1,1,15.85135117523919
271212209,0,0,60000.0,9.0,74.0,0,3.0,0,1,1,1,0,0,1,1,0,1,0,15.85135117523919
274693189,0,1,65000.0,8.5,75.0,0,3.0,1,1,2,0,0,0,1,0,1,1,0,16.507474329371778
274997801,0,0,30000.0,8.5,39.0,0,1.0,1,0,2,0,0,1,0,0,0,1,0,16.507474329371778
263148215,0,0,30000.0,8.5,36.0,0,1.0,0,1,2,0,1,0,0,0,0,1,1,16.507474329371778
266010583,0,0,30000.0,9.0,37.0,0,1.0,1,0,2,0,0,1,0,0,0,1,0,15.85135117523919
274104051,0,0,32000.0,8.5,41.0,0,1.0,0,1,0,0,1,0,0,0,0,0,0,16.507474329371778
274946610,0,0,32000.0,8.5,35.0,0,1.0,1,0,2,0,1,0,0,0,0,1,1,16.507474329371778
199265580,0,0,32000.0,8.5,38.0,0,1.0,1,0,1,1,1,0,0,0,1,0,0,16.507474329371778
267309504,0,0,35000.0,9.0,38.0,0,1.0,1,0,0,0,1,0,0,0,1,1,0,15.85135117523919
274335409,1,0,35000.0,8.5,39.0,0,1.0,0,1,1,1,0,0,1,0,0,1,0,16.507474329371778
274270277,0,0,35000.0,9.0,39.0,0,1.0,1,0,2,1,1,0,0,1,0,1,0,15.85135117523919
273961787,0,0,37000.0,8.5,55.0,0,2.0,0,1,2,0,1,0,0,0,1,1,0,16.507474329371778
252925994,0,2,38000.0,9.0,38.3,1,1.0,1,0,2,0,1,0,0,1,0,1,0,15.85135117523919
273805743,0,0,39000.0,8.5,55.0,0,2.0,0,1,2,0,1,0,0,0,1,1,0,16.507474329371778
272224659,0,1,40000.0,8.5,55.0,0,2.0,0,1,2,0,1,0,0,0,1,1,0,16.507474329371778
274839082,0,1,40000.0,8.5,40.0,0,1.0,0,1,3,0,1,0,0,1,1,1,0,16.507474329371778
274735031,0,1,40000.0,9.0,55.0,0,2.0,0,1,1,1,0,1,0,1,1,1,0,15.85135117523919
273953558,0,1,45000.0,8.5,52.0,0,2.0,0,1,2,0,1,0,0,1,0,1,0,16.507474329371778
272913265,0,1,50000.0,8.5,53.0,0,2.0,0,1,2,0,1,0,0,1,0,1,1,16.507474329371778
